year,divorce_rate_per_1000,marriage_rate_per_1000,source
2000,4.0,8.2,CDC NVSS
2001,4.0,8.2,CDC NVSS
2002,3.9,8.0,CDC NVSS
2003,3.8,7.7,CDC NVSS
2004,3.7,7.8,CDC NVSS
2005,3.6,7.6,CDC NVSS
2006,3.7,7.5,CDC NVSS
2007,3.6,7.3,CDC NVSS
2008,3.5,7.1,CDC NVSS
2009,3.5,6.8,CDC NVSS
2010,3.6,6.8,CDC NVSS
2011,3.6,6.8,CDC NVSS
2012,3.4,6.8,CDC NVSS
2013,3.3,6.9,CDC NVSS
2014,3.2,6.9,CDC NVSS
2015,3.1,6.9,CDC NVSS
2016,3.0,6.9,CDC NVSS
2017,2.9,6.9,CDC NVSS
2018,2.9,6.5,CDC NVSS
2019,2.7,6.1,CDC NVSS
2020,2.3,5.1,CDC NVSS
2021,2.5,6.0,CDC NVSS
2022,2.4,6.2,CDC NVSS
2023,2.4,6.1,CDC NVSS
