group,male_rate_per_1000_prev_married,female_rate_per_1000_prev_married,year,source
Total,34.4,18.5,2023,BGSU NCFMR (FP-25-03) using ACS 1-year estimates
Age 18-29,68.7,100.4,2023,BGSU NCFMR (FP-25-03) using ACS 1-year estimates
Age 30-44,73.2,42.3,2023,BGSU NCFMR (FP-25-03) using ACS 1-year estimates
Age 45-54,36.9,17.6,2023,BGSU NCFMR (FP-25-03) using ACS 1-year estimates
Age 55-64,21.9,9.9,2023,BGSU NCFMR (FP-25-03) using ACS 1-year estimates
Age 65+,11.5,3.3,2023,BGSU NCFMR (FP-25-03) using ACS 1-year estimates
Less than high school,30.5,21.3,2023,BGSU NCFMR (FP-25-03) using ACS 1-year estimates
High school diploma,28.2,16.3,2023,BGSU NCFMR (FP-25-03) using ACS 1-year estimates
Some college or associate degree,32.2,17.9,2023,BGSU NCFMR (FP-25-03) using ACS 1-year estimates
Bachelor degree,41.7,20.1,2023,BGSU NCFMR (FP-25-03) using ACS 1-year estimates
Master degree or higher,47.0,24.6,2023,BGSU NCFMR (FP-25-03) using ACS 1-year estimates
